no,eclipse,ours
531,91,285
532,56,73
533,60,165
534,64,140
535,84,45
536,57,145
537,60,3267
538,91,91
539,61,19437
540,62,62
541,121,121
542,64,19510
543,65,65
544,66,66
545,92,3272
546,54,60868
547,149,149
548,75,75
549,120,120
550,59,59
551,108,1241
552,64,55
553,60,982
554,118,118
555,114,243
556,159,159
557,112,355
558,111,345
559,112,208
560,127,226
561,118,7257
562,144,151
563,130,30233
564,175,170
565,160,31513
566,149,7339
567,118,18246
568,132,33542
569,129,7550
570,135,18266
571,133,133
572,118,191
573,132,141
574,127,187
575,122,191
576,124,280
577,123,234
578,123,132
579,107,162
580,113,401
581,134,191
582,128,549
583,112,140
584,116,250
585,118,186
586,129,186
587,115,185
588,132,135
589,132,7138
590,123,180
591,106,41116
592,157,157
593,109,65579
594,151,24347
595,161,316
596,136,136
597,125,7161
598,105,26425
599,142,142
600,119,483
601,113,193
602,122,167
603,125,252
604,130,130
605,120,120
606,122,134
607,108,24288
608,128,26174
609,145,27847
610,138,31125
611,147,147
612,110,39803
613,97,97
614,119,37744
615,168,7151
616,117,25924
617,92,92
618,111,50316
619,127,127
620,114,114
621,120,120
622,123,418
623,117,155
624,123,123
625,120,120
626,113,113
627,118,118
628,115,141
629,110,110
630,112,183
631,124,234
632,119,132
633,93,223
634,112,112
635,114,7176
636,114,6976
637,126,190
638,96,24767
639,133,68600
640,96,22168
641,143,143
642,116,7018
643,123,46036
644,135,7227
645,125,125
646,120,143320
647,124,124
648,112,27831
649,149,112053
650,132,82194
651,128,7092
652,116,7042
653,124,250
654,120,477
655,126,126
656,115,29657
657,132,132
658,130,130
659,110,110
660,110,116
661,119,24112
662,117,183
663,128,199
664,113,104608
665,148,55103
666,138,20599
667,97,97
668,121,6960
669,124,38843
670,146,146
671,113,7653
672,118,118
673,112,112
674,117,33140
675,101,101
676,117,30932
677,139,30953
678,129,7036
679,133,7171
680,117,7501
681,124,124
682,113,190
683,121,348
684,130,130
685,121,18508
686,142,7064
687,111,44202
688,130,7093
689,127,127
690,123,123
691,119,427
692,125,443
693,117,7143
694,115,115
695,116,24274
696,149,149
697,118,219
698,119,346
699,129,129
700,114,280
701,116,116
702,115,287
703,120,135
704,120,162
705,132,7061
706,127,7033
707,116,7150
708,122,122
709,111,20491
710,116,116
711,128,128
712,116,7110
713,132,47862
714,134,7057
715,121,51826
716,134,429
717,127,38721
718,145,6984
719,118,118
720,130,13894
721,136,14125
722,137,13558
723,136,24540
724,129,129
725,130,524
726,132,52582
727,96,50926
728,115,3901
729,121,31415
730,142,142
731,113,131
732,107,34379
733,127,31114
734,155,426
735,125,192
736,123,586
737,123,137
738,137,320
739,116,130
740,118,369
741,95,95
742,66,55
743,63,44
744,90,191
745,98,704
746,90,194
747,93,191
748,71,297
749,104,104
750,66,407
751,92,98
752,71,71
753,96,96
754,91,103
755,62,384
756,107,107
757,99,108
758,66,3283
759,71,47238
760,124,3700
761,71,57530
762,79,24275
763,109,36954
764,102,190
765,97,237
766,110,215
767,94,94
768,95,3299
769,93,10021
770,97,45236
771,75,75
772,126,126
773,98,138
774,64,57
775,103,103
776,94,94
777,100,100
778,73,445
779,107,368
780,103,308
781,73,493
782,76,76
783,97,1181
784,111,159
785,97,2808
786,67,67
787,128,128
788,92,1710
789,111,209
790,68,3798
791,110,510
792,65,452
793,65,208
794,76,290
795,66,66
796,132,132
797,73,73
798,116,110
799,67,67
800,123,80499
801,107,107
802,98,52
803,94,121509
804,135,216
805,108,92199
806,147,60449
807,103,7028
808,66,24624
809,127,7011
810,102,7074
811,97,179
812,115,24314
813,124,54603
