no,eclipse,ours
525,132,186
526,118,99
527,124,418
528,116,661
529,106,588
530,126,143
531,133,475
532,109,417
533,125,638
534,126,141
535,126,446
536,106,105
537,129,163
538,108,189
539,128,61
540,114,232
541,120,142
542,108,404
543,118,575
544,118,575
545,110,139
546,114,442
547,113,546
548,138,473
549,118,1983
550,105,224
551,120,145
552,91,53
553,90,56
554,93,53
555,75,447
556,53,54
557,55,1107
558,114,114
559,98,195
560,111,237
561,113,195
562,108,199
563,106,199
564,113,87
565,144,205
566,107,145
567,116,142
568,115,151
569,104,104
570,99,99
571,94,344
572,107,2162
573,108,541
574,103,1410
575,107,352
576,105,979
577,133,423
578,115,965
579,118,1337
580,102,1326
581,100,318
582,106,1310
583,103,1339
584,104,314
585,93,1525
586,103,1498
587,115,420
588,112,363
589,196,135
590,114,184
591,100,151
592,98,170
593,118,118
594,103,103
595,114,114
596,92,135
597,105,150
598,94,136
599,115,143
600,100,100
601,101,205
602,81,135
603,106,103
604,111,228
605,85,17
606,112,17
607,73,17
608,107,107
609,110,110
610,122,415
611,114,195
612,95,537
613,137,188
614,111,286
615,105,314
616,108,152
617,128,214
618,110,150
619,93,445
620,116,178
621,111,144
622,117,102
623,112,657
624,102,467
625,116,471
626,95,141
627,100,444
628,104,722
629,103,647
630,109,104
631,133,650
632,94,480
633,115,451
634,116,104
635,104,423
636,114,143
637,110,65
638,119,206
639,115,107
640,106,691
641,115,699
642,117,223
643,117,110
644,112,182
645,116,100
646,115,115
647,81,206
648,120,651
649,116,231
650,103,648
651,107,644
652,111,646
653,97,291
654,102,165
655,98,175
656,86,134
657,105,99
658,114,97
659,98,101
660,103,166
661,111,133
662,110,161
663,98,96
664,109,98
665,110,96
666,97,169
667,102,102
668,98,91
669,111,95
670,113,113
671,102,1555
672,118,271
673,106,106
674,96,464
675,102,2324
676,99,242
677,102,243
678,124,526
679,120,179
680,122,196
681,106,141
682,103,157
683,113,949
684,114,186
685,116,63
686,127,64
687,95,95
688,126,1539
689,120,389
690,109,109
691,106,244
692,112,2420
693,103,754
694,102,225
695,129,730
696,105,171
697,114,418
698,113,128
699,109,916
700,114,180
701,113,113
702,95,144
703,107,186
704,105,327
705,118,298
706,83,178
707,118,104
708,117,117
709,108,108
710,84,301
711,122,306
712,114,114
713,112,146
714,115,145
715,101,328
716,110,177
717,119,184
718,118,218
719,102,213
720,112,112
721,47,100
722,98,34
723,53,104
724,56,78
725,82,33
726,78,40
727,108,22
728,95,23
729,88,22
730,92,23
731,80,23
732,84,23
733,82,24
734,114,24
735,93,93
736,81,81
737,90,90
738,108,108
739,81,120
740,69,128
741,92,20
742,51,17
743,57,17
744,103,18
745,79,52
746,58,72
747,63,26
748,91,20
749,89,18
750,76,25
751,75,25
752,56,20
753,90,19
754,87,18
755,89,18
756,99,99
757,116,116
758,85,87
759,97,141
760,84,111
761,67,110
762,60,69
763,69,66
764,63,209
765,96,135
766,111,72
767,104,69
768,94,229
769,103,202
770,90,136
771,68,70
772,84,69
773,93,314
774,93,229
775,97,165
776,74,96
777,71,133
778,101,131
779,103,94
780,98,126
781,81,106
782,67,113
783,114,118
784,85,85
785,135,135
786,129,129
787,144,144
788,125,125
789,101,101
790,114,114
791,115,115
792,114,117
793,116,116
794,108,181
795,134,134
796,117,167
797,123,160
798,120,230
799,121,1137
800,114,626
801,122,143
802,113,154
803,121,161
804,117,1135
805,115,1556
806,120,1584
807,121,2207
808,111,167
809,126,119
810,102,278
811,117,320
812,106,1352
813,118,1583
814,111,1471
815,114,143
816,115,179
817,135,13187
818,119,343
819,125,1354
820,120,1328
821,109,358
822,124,2066
823,123,1403
824,110,1578
825,116,1518
826,108,1479
827,111,1361
828,110,2703
829,110,144
830,126,246
831,106,334
832,117,165
833,116,161
834,122,157
835,118,191
836,130,139
837,111,115
838,116,116
839,134,185
840,116,188
841,111,349
842,124,346
843,117,440
844,130,313
845,123,217
846,121,233
847,114,367
848,130,2588
849,126,3600
850,118,101
851,125,4240
852,112,5165
853,114,5226
854,114,8740
855,112,5179
856,120,2751
857,115,20312
858,141,5230
859,114,219
860,132,20507
861,171,207
862,125,256
863,122,243
864,131,294
865,117,83
866,113,749
867,101,1435
868,112,212
869,79,97
870,64,63
871,71,96
872,103,173
873,67,114
874,88,117
875,100,124
876,73,119
877,87,129
878,60,122
879,74,118
880,92,116
881,75,123
882,93,381
883,63,335
884,105,221
885,94,188
886,102,376
887,69,306
888,109,345
889,75,281
890,66,5678
891,61,2870
892,100,5629
893,64,2837
894,83,83
895,101,64
896,89,115
897,110,17
898,58,16
899,91,17
900,91,91
901,125,125
902,109,59
903,89,60
904,86,77
905,74,94
906,72,75
907,75,2950
908,95,86
909,86,146
910,92,155
911,67,142
912,82,111
913,97,102
914,77,104
915,65,8505
916,87,54
917,96,43
918,73,73
919,84,2874
920,62,45
921,78,91
922,74,88
923,100,87
924,103,2907
925,97,97
926,87,2933
927,75,75
928,95,95
929,99,99
930,95,39
931,85,85
932,96,96
933,99,2833
934,97,97
935,101,38
936,92,92
937,67,67
938,88,2862
939,96,2913
940,96,96
941,95,8455
942,109,132
943,97,124
944,99,54
945,91,51
946,94,94
947,90,90
948,93,93
949,73,41
950,118,2786
951,65,65
952,125,63
953,109,41
954,77,77
955,114,114
956,108,51
957,77,8305
958,97,51
959,93,2877
960,97,97
961,66,2898
962,99,99
963,67,2860
964,103,103
965,107,107
966,104,104
967,98,39
968,89,89
969,91,91
970,111,2807
971,101,101
972,88,40
973,90,90
974,128,128
975,78,2912
976,100,2898
977,116,116
978,100,2728
979,74,74
980,95,2748
981,100,100
