no,eclipse,ours
519,219,1384
520,242,544
521,254,423
522,213,397
523,227,431
524,225,669
525,221,624
526,70,1058
527,144,2208
528,115,2384
529,114,2655
530,123,364
531,118,375
532,114,183
533,110,755
534,116,3982
535,117,1550
536,112,729
537,103,864
538,99,574
539,91,1266
540,106,315
541,165,177
542,142,983
543,107,161
544,105,1393
545,139,1443
546,77,358
547,113,343
548,108,127
549,112,1435
550,106,95
551,126,470
552,107,1624
553,101,283
554,109,909
555,86,184
556,75,296
557,98,2571
558,107,164
559,123,57
560,121,148
561,92,1146
562,98,1043
563,75,223
564,95,1615
565,96,850
566,94,176
567,318,275
568,119,304
569,80,459
570,103,218
571,74,202
572,132,15669
573,113,389
574,92,130
575,96,236
576,79,663
577,108,452
578,100,20
579,129,573
580,112,162
581,110,104
582,107,105
583,112,931
584,73,263
585,118,118
586,101,5912
587,117,290
588,111,240
589,106,477
590,114,340
591,106,298
592,133,1473
593,120,873
594,106,790
595,71,2725
596,114,299
597,103,576
598,116,153
599,108,188
600,113,113
601,79,79
602,83,41
603,88,111
604,101,51
605,127,104
606,114,356
607,123,208
608,129,104
609,116,4077
610,112,1322
611,120,187
612,112,387
613,108,623
614,117,70
615,139,330
616,116,640
617,113,414
618,114,623
619,115,431
620,114,204
621,136,379
622,114,386
623,115,115
624,114,114
625,119,119
626,117,585
627,112,72
628,147,123
629,123,125
630,112,195
631,117,120
632,114,139
633,110,126
634,106,102
635,110,117
636,94,275
637,110,161
638,143,143
639,130,2120
640,132,221
641,143,143
642,131,1378
643,152,613
644,142,142
645,136,161
646,127,163
647,134,1286
648,132,132
649,134,163
650,126,179
651,120,125
652,69,294
653,134,134
654,67,291
655,67,82
656,69,139
657,110,110
658,91,129
659,85,663
660,64,1716
661,111,111
662,110,256
663,84,851
664,120,65
665,109,88
666,109,378
667,82,372
668,113,119
669,112,92
670,106,106
671,103,290
672,113,202
673,114,921
674,116,2267
675,110,3439
676,115,2186
677,108,108
678,111,111
679,118,118
680,121,121
681,116,116
682,101,101
683,115,2199
684,113,594
685,111,834
686,117,1344
687,116,1378
688,151,874
689,266,72
690,129,146
691,133,182
692,130,164
693,128,430
694,127,187
695,118,118
696,116,111
697,102,5553
698,113,278
699,117,126
700,97,451
701,118,2023
702,115,1490
703,112,295
704,115,295
705,149,202
706,115,5329
707,133,5248
708,113,132
709,110,10049
710,118,10001
711,116,1526
712,130,1950
713,114,183
714,91,9970
715,117,270
716,115,1915
717,134,335
718,123,3217
719,132,73
720,124,2922
721,135,373
722,118,222
723,93,714
724,111,93
725,111,1290
726,113,12231
727,92,849
728,118,113
729,102,1089
730,114,2494
731,121,988
732,114,114
733,113,1083
734,140,285
735,134,134
736,114,275
737,113,1952
738,116,192
739,111,211
740,111,2899
741,112,1437
742,108,282
743,123,2411
744,102,102
745,119,119
746,114,1380
747,120,222
748,114,311
749,113,113
750,104,104
751,105,152
752,108,223
753,117,189
754,111,94
755,119,501
756,112,362
757,115,1089
758,117,117
759,106,118
760,112,354
761,112,404
762,123,1404
763,124,330
764,118,255
765,111,70
766,130,128
767,118,189
768,141,179
769,128,1917
770,119,2242
771,111,414
772,117,265
773,111,316
774,70,184
775,106,415
776,121,2752
777,78,402
778,119,322
779,80,80
780,98,618
781,105,1473
782,104,617
783,102,102
784,115,348
785,112,112
786,108,2108
787,145,2036
788,131,156
789,97,97
790,104,8111
791,72,3950
792,102,150
793,116,295
794,113,303
795,117,513
796,76,459
797,106,438
798,100,149
799,103,5245
800,75,337
801,107,7052
802,72,432
803,76,205
804,118,1794
805,101,142
806,113,180
807,136,89
808,103,104
809,80,134
810,130,342
811,115,213
812,85,85
813,106,137
814,112,169
815,105,192
816,111,260
817,126,257
818,72,130
819,78,308
820,82,140
821,97,253
822,76,344
823,87,277
824,113,269
825,72,1148
826,110,56
827,95,366
828,81,709
829,72,1902
830,125,5167
831,112,226
832,89,396
833,110,58
834,116,185
835,113,183
836,115,62
837,80,211
838,108,1067
839,115,92
840,99,203
841,79,79
842,97,94
843,76,444
844,101,622
845,77,530
846,118,1764
847,108,7786
848,110,18549
849,130,3062
850,117,6405
851,109,382
852,109,69609
853,86,70453
854,116,273
855,111,2713
856,75,929
857,80,5480
858,107,1742
859,119,506
860,110,60
861,101,72
862,102,5043
863,154,5042
864,107,201
865,75,151
866,78,417
867,82,153
868,113,499
869,142,445
870,135,297
871,151,286
872,160,242
873,162,162
874,129,129
875,137,190
876,135,110
877,119,402
878,124,812
879,140,228
880,128,185
881,130,320
882,128,1480
883,124,81
884,125,89
885,125,81
886,135,275
887,133,77
888,136,387
889,132,369
890,143,392
891,105,102
892,133,133
893,96,96
894,98,105
895,107,70
896,87,108
897,111,78
898,109,67
899,82,67
900,111,67
901,108,118
902,112,83
903,81,68
904,116,2348
905,100,2954
906,115,603
907,115,526
908,82,227
909,123,68
910,108,595
911,126,1269
912,112,468
913,110,463
914,103,205
915,129,1269
916,116,619
917,128,7790
918,112,64
919,112,1282
920,122,1712
921,198,8304
922,227,201
923,116,116
924,157,1723
925,99,419
926,126,588
927,129,1654
928,118,478
929,113,169
930,129,171
931,128,71
932,108,115
933,130,3663
934,111,178
935,146,146
936,126,177
937,126,11735
938,151,398
939,131,697
940,132,1155
941,148,1021
942,143,731
943,130,130
944,129,2173
945,138,88
946,152,2751
947,129,2493
948,154,2384
949,132,2183
950,135,313
951,132,396
952,142,7010
953,128,490
954,128,378
955,157,3983
956,133,736
957,137,1275
958,128,211
959,123,4638
960,137,361
961,125,9362
962,129,531
963,153,3274
964,136,2915
965,160,534
966,123,2866
967,137,106
968,118,105
969,114,106
970,108,159
971,95,359
972,112,1014
973,117,1207
974,156,315
975,153,419
976,135,4696
977,143,4364
978,158,7147
979,144,1137
980,147,379
981,149,749
982,152,41
983,133,133
984,152,1120
985,147,147
986,141,944
987,156,41
988,173,173
989,145,42
990,167,57
991,140,1271
992,172,284
993,152,704
994,139,20241
995,181,691
996,147,6812
997,139,2100
998,150,128
999,143,16320
1000,152,12948
1001,165,5280
1002,136,14617
1003,148,10898
1004,202,4857
1005,157,369
1006,179,288
1007,166,399
1008,140,447
1009,198,465
1010,147,367
1011,181,479
1012,155,2134
1013,142,278
1014,148,3382
1015,150,1157
1016,141,104
1017,144,6346
1018,140,2775
1019,170,98
1020,134,3648
1021,146,799
1022,157,687
1023,144,502
1024,128,395
1025,143,404
1026,123,214
1027,159,159
1028,133,133
1029,132,132
1030,126,126
1031,143,143
1032,130,130
1033,107,388
1034,142,384
1035,118,74
1036,106,229
1037,115,32
1038,170,238
1039,131,131
1040,138,932
1041,132,245
1042,131,1023
1043,131,281
1044,144,4303
1045,138,550
1046,183,438
1047,134,1326
1048,133,2645
1049,126,265
1050,131,2092
1051,144,382
1052,131,695
1053,133,197
1054,134,901
1055,132,585
1056,133,397
1057,126,231
1058,140,382
1059,147,7872
1060,123,1791
1061,140,356
1062,128,116
1063,135,4782
1064,126,1561
1065,147,371
1066,134,599
1067,135,1826
1068,132,2606
1069,126,262
1070,120,361
1071,132,135
1072,126,646
1073,128,86
1074,140,302
1075,138,889
1076,139,365
1077,129,471
1078,131,861
1079,156,744
1080,144,5098
1081,154,272
1082,142,692
1083,136,3579
1084,136,1138
1085,125,1354
1086,131,77
1087,128,275
1088,154,72
1089,159,163
1090,125,413
1091,116,222
1092,140,1360
1093,127,1217
1094,122,480
1095,118,524
1096,128,319
1097,114,7192
1098,93,76
1099,141,534
1100,124,76
1101,124,5767
1102,117,944
1103,99,31517
1104,161,651
1105,125,81
1106,154,274
1107,115,917
1108,120,122
1109,118,667
1110,114,227
1111,121,1210
1112,121,1291
1113,123,1935
1114,129,760
1115,124,385
1116,122,645
1117,127,798
1118,115,609
1119,88,46
1120,116,625
1121,101,371
1122,73,125
1123,120,245
1124,129,62
1125,137,319
1126,82,186
1127,120,451
1128,123,229
1129,129,433
1130,81,266
1131,131,204
1132,83,895
1133,123,259
1134,118,496
1135,111,273
1136,132,5836
1137,116,249
1138,127,161
1139,112,874
1140,121,163
1141,96,208
1142,106,107
1143,108,440
1144,127,188
1145,129,204
1146,98,160
1147,127,91
1148,116,87
1149,125,614
1150,150,141
1151,123,162
1152,125,157
1153,117,152
1154,117,567
1155,120,240
1156,111,161
1157,111,219
1158,113,113
1159,133,133
1160,100,376
1161,117,377
1162,126,126
1163,98,40
1164,122,463
1165,141,277
1166,156,1083
1167,134,822
1168,133,181
1169,129,275
1170,125,252
1171,138,450
1172,130,462
1173,142,2409
1174,134,6010
1175,120,2292
1176,131,545
1177,122,2471
1178,135,339
1179,122,2952
1180,128,1559
1181,133,1416
1182,140,356
1183,104,104
1184,128,2465
1185,84,334
1186,92,132
1187,73,408
1188,118,200
1189,118,620
1190,153,684
1191,140,475
1192,113,11055
1193,138,245
1194,131,108
1195,122,171
1196,116,146
1197,138,184
1198,140,233
1199,126,1574
1200,136,167
1201,127,1001
1202,147,147
1203,141,426
1204,155,509
1205,244,4525
1206,142,4093
1207,170,978
1208,150,1284
1209,153,638
1210,209,1161
1211,154,133
1212,154,382
1213,153,569
1214,168,141
1215,158,166
1216,148,634
1217,148,136
1218,165,329
1219,145,106
1220,167,199
1221,151,7073
1222,150,333
1223,157,466
1224,149,1156
1225,157,259
1226,154,325
1227,144,1840
1228,145,258
1229,174,567
1230,152,6201
1231,153,123
1232,139,1089
1233,141,245
1234,148,2331
1235,149,345
1236,147,431
1237,149,273
1238,144,256
1239,156,361
1240,151,295
1241,161,2591
1242,157,259
1243,160,495
1244,151,520
1245,147,272
1246,152,1763
1247,161,437
1248,154,189
1249,129,119
1250,124,292
1251,117,437
1252,124,1459
1253,173,1058
1254,168,663
1255,146,585
1256,127,1833
1257,149,1380
1258,122,481
1259,148,1480
1260,108,904
1261,121,181
1262,133,951
1263,81,787
1264,129,961
1265,83,846
1266,81,119
1267,148,263
1268,152,357
1269,124,598
1270,125,402
1271,120,348
1272,137,641
1273,127,2761
1274,123,167
1275,161,289
1276,133,844
1277,99,861
1278,128,440
1279,129,467
1280,132,707
1281,132,2147
1282,150,318
1283,119,971
1284,134,156
1285,123,736
1286,103,105
1287,130,80
1288,144,309
1289,135,135
1290,147,227
1291,150,346
1292,143,328
1293,149,1040
1294,143,1855
1295,137,295
1296,144,3730
1297,140,535
1298,153,871
1299,147,664
1300,154,365
1301,167,461
1302,177,431
1303,161,122
1304,140,97
1305,142,347
1306,157,1113
1307,155,403
1308,161,336
1309,146,123
1310,152,152
1311,144,636
1312,150,621
1313,142,281
1314,145,128
1315,148,4030
1316,141,141
1317,143,143
1318,142,98
1319,144,101
1320,153,14273
1321,180,10748
1322,155,3500
1323,148,514
1324,152,261
1325,153,50
1326,107,1417
1327,77,243
1328,102,139
1329,69,190
1330,72,280
1331,126,267
1332,81,1195
1333,89,129
1334,105,388
1335,103,132
1336,116,93
1337,103,58
1338,114,1774
1339,147,1553
1340,149,203
1341,138,152
1342,131,128
1343,135,348
1344,141,449
1345,139,2404
1346,130,1003
1347,135,1107
1348,136,55
1349,131,981
1350,132,132
1351,131,131
1352,135,33
1353,131,291
1354,141,154
1355,127,968
1356,147,643
1357,156,236
1358,131,120
1359,131,124
1360,123,121
1361,155,123
1362,143,143
1363,160,200
1364,125,463
1365,127,166
1366,124,110
1367,137,100
1368,125,105
1369,138,313
1370,143,143
1371,117,231
1372,131,130
1373,131,429
1374,133,599
1375,119,40
1376,98,278
1377,99,719
1378,89,1514
1379,126,126
1380,122,122
1381,114,85
1382,90,82
1383,110,131
1384,109,84
1385,122,1041
1386,234,234
1387,89,80
1388,89,117
1389,113,980
1390,101,324
1391,88,1011
1392,119,1546
1393,157,215
1394,136,243
1395,131,244
1396,96,142
1397,181,78
1398,150,255
1399,150,131
1400,112,413
1401,137,103
1402,126,98
1403,133,7491
1404,128,1269
1405,160,376
1406,131,226
1407,121,364
1408,135,135
1409,128,150
1410,126,178
1411,159,462
1412,142,1326
1413,139,4520
1414,132,117
1415,168,3287
1416,144,98
1417,132,1354
1418,133,1312
1419,136,1326
1420,156,1562
1421,135,105
1422,123,586
1423,154,215
1424,157,129
1425,146,378
1426,133,133
1427,136,33
1428,130,130
1429,134,32
1430,140,1100
1431,146,417
1432,131,213
1433,127,127
1434,142,1197
1435,132,1107
1436,140,1053
1437,142,6759
1438,138,1059
1439,149,10154
1440,146,115
1441,151,648
1442,147,674
1443,141,304
1444,138,298
1445,138,1179
1446,139,5011
1447,134,302
1448,132,382
1449,147,235
1450,150,4599
1451,126,31
1452,134,449
1453,133,1033
1454,140,1353
1455,157,44
1456,128,991
1457,137,1363
1458,137,181
1459,135,368
1460,137,32
1461,149,34
1462,128,128
1463,134,133
1464,161,307
1465,147,242
1466,137,376
1467,141,300
1468,141,240
1469,142,480
1470,143,1526
1471,145,243
1472,134,102
1473,127,126
1474,137,461
1475,125,206
1476,187,89
1477,161,250
1478,131,210
1479,146,12513
1480,145,224
1481,113,314
1482,145,829
1483,135,201
1484,114,234
1485,109,308
1486,139,322
1487,137,329
1488,114,70
1489,109,67
1490,92,71
1491,116,214
1492,120,212
1493,128,125
1494,102,132
1495,117,121
1496,111,129
1497,129,129
1498,135,13377
1499,192,2950
1500,126,2752
1501,155,1975
1502,138,524
1503,121,421
1504,132,223
1505,123,49
1506,116,48
1507,125,53
1508,147,49
1509,152,144
1510,167,246
1511,144,416
1512,163,1312
1513,146,419
1514,146,116
1515,121,534
1516,132,2035
1517,126,446
1518,137,1694
1519,134,217
1520,147,210
1521,139,148
1522,147,121
1523,141,228
1524,153,127
1525,143,302
1526,140,485
1527,145,212
1528,147,407
1529,141,209
1530,138,662
1531,144,159
1532,139,415
1533,143,457
1534,139,414
1535,144,1509
1536,138,2296
1537,135,135
1538,129,23373
1539,148,710
1540,149,44697
1541,151,248
1542,150,328
1543,137,30
1544,145,363
1545,120,30
1546,175,44788
1547,958,503
1548,153,31
1549,147,18553
1550,160,29
1551,160,9456
1552,144,268
1553,149,5311
1554,161,42829
1555,182,544
1556,150,3962
1557,137,117
1558,151,260
1559,164,432
1560,141,185
1561,141,43695
1562,147,28
1563,143,30
1564,181,5236
1565,156,304
1566,151,5995
1567,158,1043
1568,147,706
1569,171,475
1570,158,170
1571,144,125
1572,172,106
1573,129,147
1574,144,142
1575,142,102
1576,173,314
1577,156,144
1578,154,153
1579,165,1417
1580,149,648
1581,143,1295
1582,164,4426
1583,160,90
1584,148,1337
1585,147,599
1586,141,189
1587,148,128
1588,123,372
1589,151,418
1590,166,264
1591,158,158
1592,145,145
1593,148,2876
1594,189,55
1595,149,149
1596,139,139
1597,141,141
1598,137,29
1599,132,1839
1600,164,617
1601,171,1397
1602,154,154
1603,140,806
1604,160,389
1605,158,424
1606,177,57
1607,146,38
1608,156,390
1609,155,119
1610,143,375
1611,174,286
1612,149,180
1613,153,956
1614,145,230
1615,153,389
1616,134,562
1617,127,211
1618,163,434
1619,140,144
1620,144,876
1621,141,425
1622,146,433
1623,150,140
1624,154,211
1625,145,137
1626,154,141
1627,148,227
1628,121,1841
1629,148,85
1630,126,2227
1631,139,2916
1632,104,268
1633,135,175
1634,138,259
1635,136,17
1636,108,393
1637,125,505
1638,111,16
1639,136,360
1640,111,443
1641,113,528
1642,114,524
1643,111,273
1644,90,37
1645,109,140
1646,120,36
